country_pair_cat,year,ln_fdi_instock,l_ln_origin_gdp_pc,l_ln_host_gdp_pc,l_ln_origin_pop,l_ln_host_pop,log_dist,l_origin_social_protect_gdp,l_host_social_protect_gdp
AUT_DEU,2004,5.905286,10.32088,10.380432,18.228724,15.910016,6.638216,21.00455839,20.97219299
AUT_DEU,2005,6.0657034,10.438984,10.513838,18.228506,15.91622,6.638216,20.6376232,20.56136148
AUT_DEU,2006,5.8976727,10.454397,10.555894,18.227938,15.923033,6.638216,20.63015568,20.23215577
AUT_DEU,2007,6.166038,10.503638,10.612392,18.22681,15.92798,6.638216,19.81974303,19.85819445
AUT_DEU,2008,6.2351823,10.641006,10.754829,18.225473,15.931222,6.638216,18.74201724,19.40548895
AUT_DEU,2009,6.173481,10.729836,10.853383,18.223572,15.934353,6.638216,18.64599842,19.58206629
AUT_DEU,2010,6.030727,10.63904,10.778189,18.221037,15.936972,6.638216,20.56534216,21.23554083
AUT_DEU,2011,6.131878,10.640306,10.754878,18.219505,15.939376,6.638216,19.9060487,21.39940439
AUT_DEU,2012,6.1787524,10.7538595,10.846906,18.200968,15.942747,6.638216,18.79846252,20.69431497
AUT_DNK,2004,2.907396,10.608039,10.380432,15.500162,15.910016,6.766803,23.7372377,20.97219299
AUT_DNK,2005,3.2579951,10.747457,10.513838,15.502747,15.91622,6.766803,23.44751202,20.56136148
AUT_DNK,2006,2.374514,10.795482,10.555894,15.505502,15.923033,6.766803,22.73927274,20.23215577
AUT_DNK,2007,1.0862415,10.859518,10.612392,15.508788,15.92798,6.766803,21.66823202,19.85819445
AUT_DNK,2008,1.174658,10.976561,10.754829,15.513223,15.931222,6.766803,21.46279774,19.40548895
AUT_DNK,2009,1.632657,11.071658,10.853383,15.519098,15.934353,6.766803,21.59847236,19.58206629
AUT_DNK,2010,1.4003141,10.971009,10.778189,15.524449,15.936972,6.766803,24.27312947,21.23554083
AUT_DNK,2011,1.507758,10.968912,10.754878,15.528891,15.939376,6.766803,24.8365201,21.39940439
AUT_DNK,2012,1.564271,11.030909,10.846906,15.533009,15.942747,6.766803,24.69269363,20.69431497
AUT_ESP,2004,2.5138087,9.975609,10.380432,17.557638,15.910016,7.502186,12.74132764,20.97219299
AUT_ESP,2005,2.4335792,10.123372,10.513838,17.574892,15.91622,7.502186,12.8069931,20.56136148
AUT_ESP,2006,2.3147948,10.185305,10.555894,17.591785,15.923033,7.502186,12.72569597,20.23215577
AUT_ESP,2007,2.0275052,10.257049,10.612392,17.60869,15.92798,7.502186,12.69725211,19.85819445
AUT_ESP,2008,2.006506,10.395418,10.754829,17.627201,15.931222,7.502186,12.84373621,19.40548895
AUT_ESP,2009,3.548565,10.47952,10.853383,17.643154,15.934353,7.502186,13.77849448,19.58206629
AUT_ESP,2010,3.5541883,10.383875,10.778189,17.652012,15.936972,7.502186,16.01794909,21.23554083
AUT_ESP,2011,2.6982868,10.33321,10.754878,17.656614,15.939376,7.502186,16.58628872,21.39940439
AUT_ESP,2012,2.8090422,10.368331,10.846906,17.660168,15.942747,7.502186,16.8241551,20.69431497
AUT_FIN,2004,2.4150867,10.398676,10.380432,15.466669,15.910016,7.2708783,20.39665103,20.97219299
AUT_FIN,2005,1.9530464,10.535719,10.513838,15.469572,15.91622,7.2708783,20.36888634,20.56136148
AUT_FIN,2006,2.4711409,10.570526,10.555894,15.472995,15.923033,7.2708783,20.2102356,20.23215577
AUT_FIN,2007,3.4592743,10.624267,10.612392,15.476832,15.92798,7.2708783,19.76548831,19.85819445
AUT_FIN,2008,2.8673604,10.784949,10.754829,15.481087,15.931222,7.2708783,19.15169575,19.40548895
AUT_FIN,2009,3.2638013,10.885591,10.853383,15.485743,15.934353,7.2708783,19.41035873,19.58206629
AUT_FIN,2010,3.0656166,10.76018,10.778189,15.490524,15.936972,7.2708783,22.68586801,21.23554083
AUT_FIN,2011,2.8592937,10.7407875,10.754878,15.4951,15.939376,7.2708783,22.8059861,21.39940439
AUT_FIN,2012,2.8720489,10.835469,10.846906,15.499735,15.942747,7.2708783,22.65415073,20.69431497
AUT_FRA,2004,3.1994345,10.294461,10.380432,17.946587,15.910016,6.942296,21.28234721,20.97219299
AUT_FRA,2005,3.167648,10.4264765,10.513838,17.95395,15.91622,6.942296,21.24219272,20.56136148
AUT_FRA,2006,3.3377988,10.456228,10.555894,17.961489,15.923033,6.942296,21.33410348,20.23215577
AUT_FRA,2007,3.8563128,10.503522,10.612392,17.96846,15.92798,6.942296,21.59195867,19.85819445
AUT_FRA,2008,3.9399028,10.633652,10.754829,17.974648,15.931222,6.942296,21.66630609,19.40548895
AUT_FRA,2009,3.9928012,10.721815,10.853383,17.980236,15.934353,6.942296,21.84733836,19.58206629
AUT_FRA,2010,4.11296,10.635264,10.778189,17.98538,15.936972,6.942296,23.70500852,21.23554083
AUT_FRA,2011,4.0800858,10.612467,10.754878,17.99032,15.939376,6.942296,23.67431485,21.39940439
AUT_FRA,2012,4.0718894,10.687178,10.846906,17.995157,15.942747,6.942296,23.69992941,20.69431497
